时间,交易笔数
"2011-07-17 00:00","8379",
"2011-07-18 00:00","8976",
"2011-07-19 00:00","9185",
"2011-07-20 00:00","8863",
"2011-07-21 00:00","8163",
"2011-07-22 00:00","8991",
"2011-07-23 00:00","7415",
"2011-07-24 00:00","8219",
"2011-07-25 00:00","9485",
"2011-07-26 00:00","8370",
"2011-07-27 00:00","7995",
"2011-07-28 00:00","8119",
"2011-07-29 00:00","7315",
"2011-07-30 00:00","6209",
"2011-07-31 00:00","8099",
"2011-08-01 00:00","8195",
"2011-08-02 00:00","8817",
"2011-08-03 00:00","7737",
"2011-08-04 00:00","8307",
"2011-08-05 00:00","7360",
"2011-08-06 00:00","6834",
"2011-08-07 00:00","6710",
"2011-08-08 00:00","7267",
"2011-08-09 00:00","9219",
"2011-08-10 00:00","8335",
"2011-08-11 00:00","7596",
"2011-08-12 00:00","7165",
"2011-08-13 00:00","7398",
"2011-08-14 00:00","7471",
"2011-08-15 00:00","8379",
"2011-08-16 00:00","9640",
"2011-08-17 00:00","7722",
"2011-08-18 00:00","7415",
"2011-08-19 00:00","7614",
"2011-08-20 00:00","7191",
"2011-08-21 00:00","7667",
"2011-08-22 00:00","7815",
"2011-08-23 00:00","7277",
"2011-08-24 00:00","7367",
"2011-08-25 00:00","7241",
"2011-08-26 00:00","7421",
"2011-08-27 00:00","6361",
"2011-08-28 00:00","5589",
"2011-08-29 00:00","8094",
"2011-08-30 00:00","7804",
"2011-08-31 00:00","7292",
"2011-09-01 00:00","7203",
"2011-09-02 00:00","7026",
"2011-09-03 00:00","5925",
"2011-09-04 00:00","7258",
"2011-09-05 00:00","7039",
"2011-09-06 00:00","7830",
"2011-09-07 00:00","7090",
"2011-09-08 00:00","6497",
"2011-09-09 00:00","7376",
"2011-09-10 00:00","5993",
"2011-09-11 00:00","6443",
"2011-09-12 00:00","6575",
"2011-09-13 00:00","6519",
"2011-09-14 00:00","6200",
"2011-09-15 00:00","6474",
"2011-09-16 00:00","6209",
"2011-09-17 00:00","5454",
"2011-09-18 00:00","5986",
"2011-09-19 00:00","6653",
"2011-09-20 00:00","8145",
"2011-09-21 00:00","7684",
"2011-09-22 00:00","6139",
"2011-09-23 00:00","6328",
"2011-09-24 00:00","5728",
"2011-09-25 00:00","5722",
"2011-09-26 00:00","5639",
"2011-09-27 00:00","6101",
"2011-09-28 00:00","6017",
"2011-09-29 00:00","5589",
"2011-09-30 00:00","5865",
"2011-10-01 00:00","5374",
"2011-10-02 00:00","5035",
"2011-10-03 00:00","6521",
"2011-10-04 00:00","5809",
"2011-10-05 00:00","5771",
"2011-10-06 00:00","5912",
"2011-10-07 00:00","5674",
"2011-10-08 00:00","5402",
"2011-10-09 00:00","5457",
"2011-10-10 00:00","5882",
"2011-10-11 00:00","5930",
"2011-10-12 00:00","5949",
"2011-10-13 00:00","4984",
"2011-10-14 00:00","6111",
"2011-10-15 00:00","5579",
"2011-10-16 00:00","4981",
"2011-10-17 00:00","5781",
"2011-10-18 00:00","4863",
"2011-10-19 00:00","5130",
"2011-10-20 00:00","4649",
"2011-10-21 00:00","5206",
"2011-10-22 00:00","5114",
"2011-10-23 00:00","5608",
"2011-10-24 00:00","5934",
"2011-10-25 00:00","5226",
"2011-10-26 00:00","5272",
"2011-10-27 00:00","4677",
"2011-10-28 00:00","5118",
"2011-10-29 00:00","5596",
"2011-10-30 00:00","4980",
"2011-10-31 00:00","5182",
"2011-11-01 00:00","5777",
"2011-11-02 00:00","5991",
"2011-11-03 00:00","6253",
"2011-11-04 00:00","6540",
"2011-11-05 00:00","5928",
"2011-11-06 00:00","5034",
"2011-11-07 00:00","5496",
"2011-11-08 00:00","5994",
"2011-11-09 00:00","6448",
"2011-11-10 00:00","6541",
"2011-11-11 00:00","5093",
"2011-11-12 00:00","5127",
"2011-11-13 00:00","5374",
"2011-11-14 00:00","5908",
"2011-11-15 00:00","6106",
"2011-11-16 00:00","6048",
"2011-11-17 00:00","4959",
"2011-11-18 00:00","5169",
"2011-11-19 00:00","4724",
"2011-11-20 00:00","5125",
"2011-11-21 00:00","4770",
"2011-11-22 00:00","5491",
"2011-11-23 00:00","5598",
"2011-11-24 00:00","5018",
"2011-11-25 00:00","5486",
"2011-11-26 00:00","4752",
"2011-11-27 00:00","5061",
"2011-11-28 00:00","5930",
"2011-11-29 00:00","6414",
"2011-11-30 00:00","6857",
"2011-12-01 00:00","6352",
"2011-12-02 00:00","6318",
"2011-12-03 00:00","5631",
"2011-12-04 00:00","5385",
"2011-12-05 00:00","6237",
"2011-12-06 00:00","7978",
"2011-12-07 00:00","6135",
"2011-12-08 00:00","5820",
"2011-12-09 00:00","5588",
"2011-12-10 00:00","5678",
"2011-12-11 00:00","5261",
"2011-12-12 00:00","4862",
"2011-12-13 00:00","5406",
"2011-12-14 00:00","5692",
"2011-12-15 00:00","4850",
"2011-12-16 00:00","5164",
"2011-12-17 00:00","4993",
"2011-12-18 00:00","4632",
"2011-12-19 00:00","5844",
"2011-12-20 00:00","6295",
"2011-12-21 00:00","5577",
"2011-12-22 00:00","5859",
"2011-12-23 00:00","5682",
"2011-12-24 00:00","4658",
"2011-12-25 00:00","5286",
"2011-12-26 00:00","5641",
"2011-12-27 00:00","5211",
"2011-12-28 00:00","5000",
"2011-12-29 00:00","5212",
"2011-12-30 00:00","5051",
"2011-12-31 00:00","5137",
"2012-01-01 00:00","5001",
"2012-01-02 00:00","5410",
"2012-01-03 00:00","5773",
"2012-01-04 00:00","5731",
"2012-01-05 00:00","6994",
"2012-01-06 00:00","6644",
"2012-01-07 00:00","5905",
"2012-01-08 00:00","6404",
"2012-01-09 00:00","6112",
"2012-01-10 00:00","6677",
"2012-01-11 00:00","7139",
"2012-01-12 00:00","6696",
"2012-01-13 00:00","6847",
"2012-01-14 00:00","6807",
"2012-01-15 00:00","6312",
"2012-01-16 00:00","6974",
"2012-01-17 00:00","6752",
"2012-01-18 00:00","6647",
"2012-01-19 00:00","6902",
"2012-01-20 00:00","6780",
"2012-01-21 00:00","6366",
"2012-01-22 00:00","5325",
"2012-01-23 00:00","6100",
"2012-01-24 00:00","7268",
"2012-01-25 00:00","7961",
"2012-01-26 00:00","6598",
"2012-01-27 00:00","6337",
"2012-01-28 00:00","5910",
"2012-01-29 00:00","6426",
"2012-01-30 00:00","6153",
"2012-01-31 00:00","6925",
"2012-02-01 00:00","6502",
"2012-02-02 00:00","7164",
"2012-02-03 00:00","7050",
"2012-02-04 00:00","7237",
"2012-02-05 00:00","6774",
"2012-02-06 00:00","6136",
"2012-02-07 00:00","7012",
"2012-02-08 00:00","7024",
"2012-02-09 00:00","7488",
"2012-02-10 00:00","8456",
"2012-02-11 00:00","7679",
"2012-02-12 00:00","7030",
"2012-02-13 00:00","7992",
"2012-02-14 00:00","9489",
"2012-02-15 00:00","9337",
"2012-02-16 00:00","9537",
"2012-02-17 00:00","6778",
"2012-02-18 00:00","6516",
"2012-02-19 00:00","5958",
"2012-02-20 00:00","6339",
"2012-02-21 00:00","6420",
"2012-02-22 00:00","7194",
"2012-02-23 00:00","8014",
"2012-02-24 00:00","6930",
"2012-02-25 00:00","6306",
"2012-02-26 00:00","5821",
"2012-02-27 00:00","6735",
"2012-02-28 00:00","6725",
"2012-02-29 00:00","6719",
"2012-03-01 00:00","6811",
"2012-03-02 00:00","7645",
"2012-03-03 00:00","5187",
"2012-03-04 00:00","6591",
"2012-03-05 00:00","6979",
"2012-03-06 00:00","6368",
"2012-03-07 00:00","6635",
"2012-03-08 00:00","6637",
"2012-03-09 00:00","6502",
"2012-03-10 00:00","5370",
"2012-03-11 00:00","5223",
"2012-03-12 00:00","6141",
"2012-03-13 00:00","7395",
"2012-03-14 00:00","6895",
"2012-03-15 00:00","6284",
"2012-03-16 00:00","6935",
"2012-03-17 00:00","6876",
"2012-03-18 00:00","6039",
"2012-03-19 00:00","6652",
"2012-03-20 00:00","6834",
"2012-03-21 00:00","7000",
"2012-03-22 00:00","6587",
"2012-03-23 00:00","6156",
"2012-03-24 00:00","6375",
"2012-03-25 00:00","6212",
"2012-03-26 00:00","6619",
"2012-03-27 00:00","6666",
"2012-03-28 00:00","7239",
"2012-03-29 00:00","7518",
"2012-03-30 00:00","6828",
"2012-03-31 00:00","6192",
"2012-04-01 00:00","5563",
"2012-04-02 00:00","6472",
"2012-04-03 00:00","7739",
"2012-04-04 00:00","7143",
"2012-04-05 00:00","7028",
"2012-04-06 00:00","6699",
"2012-04-07 00:00","6080",
"2012-04-08 00:00","5915",
"2012-04-09 00:00","6617",
"2012-04-10 00:00","8468",
"2012-04-11 00:00","7858",
"2012-04-12 00:00","8290",
"2012-04-13 00:00","7041",
"2012-04-14 00:00","8027",
"2012-04-15 00:00","7371",
"2012-04-16 00:00","8577",
"2012-04-17 00:00","7805",
"2012-04-18 00:00","8580",
"2012-04-19 00:00","7900",
"2012-04-20 00:00","8285",
"2012-04-21 00:00","7201",
"2012-04-22 00:00","6354",
"2012-04-23 00:00","7104",
"2012-04-24 00:00","7660",
"2012-04-25 00:00","7557",
"2012-04-26 00:00","10099",
"2012-04-27 00:00","7195",
"2012-04-28 00:00","7427",
"2012-04-29 00:00","7729",
"2012-04-30 00:00","9413",
"2012-05-01 00:00","10208",
"2012-05-02 00:00","9978",
"2012-05-03 00:00","14002",
"2012-05-04 00:00","14098",
"2012-05-05 00:00","12998",
"2012-05-06 00:00","11150",
"2012-05-07 00:00","18247",
"2012-05-08 00:00","17719",
"2012-05-09 00:00","17245",
"2012-05-10 00:00","11782",
"2012-05-11 00:00","19061",
"2012-05-12 00:00","18326",
"2012-05-13 00:00","14737",
"2012-05-14 00:00","28349",
"2012-05-15 00:00","22235",
"2012-05-16 00:00","18078",
"2012-05-17 00:00","16935",
"2012-05-18 00:00","24481",
"2012-05-19 00:00","35404",
"2012-05-20 00:00","31460",
"2012-05-21 00:00","31604",
"2012-05-22 00:00","23480",
"2012-05-23 00:00","27432",
"2012-05-24 00:00","26589",
"2012-05-25 00:00","28999",
"2012-05-26 00:00","23279",
"2012-05-27 00:00","26447",
"2012-05-28 00:00","29888",
"2012-05-29 00:00","29816",
"2012-05-30 00:00","25580",
"2012-05-31 00:00","21013",
"2012-06-01 00:00","27069",
"2012-06-02 00:00","12800",
"2012-06-03 00:00","33601",
"2012-06-04 00:00","45938",
"2012-06-05 00:00","44364",
"2012-06-06 00:00","15937",
"2012-06-07 00:00","33203",
"2012-06-08 00:00","23897",
"2012-06-09 00:00","33050",
"2012-06-10 00:00","40721",
"2012-06-11 00:00","32531",
"2012-06-12 00:00","18243",
"2012-06-13 00:00","56794",
"2012-06-14 00:00","61938",
"2012-06-15 00:00","54986",
"2012-06-16 00:00","43282",
"2012-06-17 00:00","43909",
"2012-06-18 00:00","39071",
"2012-06-19 00:00","35962",
"2012-06-20 00:00","32246",
"2012-06-21 00:00","26782",
"2012-06-22 00:00","23565",
"2012-06-23 00:00","22303",
"2012-06-24 00:00","22392",
"2012-06-25 00:00","28713",
"2012-06-26 00:00","30235",
"2012-06-27 00:00","30875",
"2012-06-28 00:00","26522",
"2012-06-29 00:00","22877",
"2012-06-30 00:00","22618",
"2012-07-01 00:00","19276",
"2012-07-02 00:00","25147",
"2012-07-03 00:00","22667",
"2012-07-04 00:00","23164",
"2012-07-05 00:00","21643",
"2012-07-06 00:00","23916",
"2012-07-07 00:00","25615",
"2012-07-08 00:00","20799",
"2012-07-09 00:00","25129",
"2012-07-10 00:00","35080",
"2012-07-11 00:00","31250",
"2012-07-12 00:00","24303",
"2012-07-13 00:00","24556",
"2012-07-14 00:00","22787",
"2012-07-15 00:00","26345",
"2012-07-16 00:00","31379",
"2012-07-17 00:00","35201",
"2012-07-18 00:00","32588",
"2012-07-19 00:00","31035",
"2012-07-20 00:00","36794",
"2012-07-21 00:00","34593",
"2012-07-22 00:00","34860",
"2012-07-23 00:00","32698",
"2012-07-24 00:00","28369",
"2012-07-25 00:00","27327",
"2012-07-26 00:00","30707",
"2012-07-27 00:00","27155",
"2012-07-28 00:00","35230",
"2012-07-29 00:00","34483",
"2012-07-30 00:00","34395",
"2012-07-31 00:00","41507",
"2012-08-01 00:00","30538",
"2012-08-02 00:00","33211",
"2012-08-03 00:00","27780",
"2012-08-04 00:00","29010",
"2012-08-05 00:00","33283",
"2012-08-06 00:00","35400",
"2012-08-07 00:00","29603",
"2012-08-08 00:00","40168",
"2012-08-09 00:00","29942",
"2012-08-10 00:00","28375",
"2012-08-11 00:00","33139",
"2012-08-12 00:00","34636",
"2012-08-13 00:00","48872",
"2012-08-14 00:00","34506",
"2012-08-15 00:00","52969",
"2012-08-16 00:00","46477",
"2012-08-17 00:00","40554",
"2012-08-18 00:00","37162",
"2012-08-19 00:00","36951",
"2012-08-20 00:00","35837",
"2012-08-21 00:00","42415",
"2012-08-22 00:00","37874",
"2012-08-23 00:00","31818",
"2012-08-24 00:00","32275",
"2012-08-25 00:00","33439",
"2012-08-26 00:00","29520",
"2012-08-27 00:00","33096",
"2012-08-28 00:00","29838",
"2012-08-29 00:00","34209",
"2012-08-30 00:00","33914",
"2012-08-31 00:00","40624",
"2012-09-01 00:00","40774",
"2012-09-02 00:00","33588",
"2012-09-03 00:00","38238",
"2012-09-04 00:00","39946",
"2012-09-05 00:00","41135",
"2012-09-06 00:00","42790",
"2012-09-07 00:00","33483",
"2012-09-08 00:00","31173",
"2012-09-09 00:00","31464",
"2012-09-10 00:00","33632",
"2012-09-11 00:00","38225",
"2012-09-12 00:00","28096",
"2012-09-13 00:00","29025",
"2012-09-14 00:00","36118",
"2012-09-15 00:00","27248",
"2012-09-16 00:00","28415",
"2012-09-17 00:00","24446",
"2012-09-18 00:00","32821",
"2012-09-19 00:00","32231",
"2012-09-20 00:00","31282",
"2012-09-21 00:00","30347",
"2012-09-22 00:00","22014",
"2012-09-23 00:00","27999",
"2012-09-24 00:00","29190",
"2012-09-25 00:00","24177",
"2012-09-26 00:00","32413",
"2012-09-27 00:00","28347",
"2012-09-28 00:00","32768",
"2012-09-29 00:00","23992",
"2012-09-30 00:00","20668",
"2012-10-01 00:00","24727",
"2012-10-02 00:00","32878",
"2012-10-03 00:00","26669",
"2012-10-04 00:00","32615",
"2012-10-05 00:00","36371",
"2012-10-06 00:00","32672",
"2012-10-07 00:00","34726",
"2012-10-08 00:00","38211",
"2012-10-09 00:00","35450",
"2012-10-10 00:00","31226",
"2012-10-11 00:00","27684",
"2012-10-12 00:00","28693",
"2012-10-13 00:00","33090",
"2012-10-14 00:00","27414",
"2012-10-15 00:00","30998",
"2012-10-16 00:00","34533",
"2012-10-17 00:00","31813",
"2012-10-18 00:00","28257",
"2012-10-19 00:00","25353",
"2012-10-20 00:00","30442",
"2012-10-21 00:00","40833",
"2012-10-22 00:00","43154",
"2012-10-23 00:00","32031",
"2012-10-24 00:00","32194",
"2012-10-25 00:00","26998",
"2012-10-26 00:00","21927",
"2012-10-27 00:00","16313",
"2012-10-28 00:00","17965",
"2012-10-29 00:00","21500",
"2012-10-30 00:00","30747",
"2012-10-31 00:00","27755",
"2012-11-01 00:00","23638",
"2012-11-02 00:00","28990",
"2012-11-03 00:00","23899",
"2012-11-04 00:00","24304",
"2012-11-05 00:00","32184",
"2012-11-06 00:00","31986",
"2012-11-07 00:00","36480",
"2012-11-08 00:00","32415",
"2012-11-09 00:00","25157",
"2012-11-10 00:00","27109",
"2012-11-11 00:00","23555",
"2012-11-12 00:00","23903",
"2012-11-13 00:00","27131",
"2012-11-14 00:00","29901",
"2012-11-15 00:00","37604",
"2012-11-16 00:00","39446",
"2012-11-17 00:00","32538",
"2012-11-18 00:00","34136",
"2012-11-19 00:00","36923",
"2012-11-20 00:00","36858",
"2012-11-21 00:00","39066",
"2012-11-22 00:00","30900",
"2012-11-23 00:00","32347",
"2012-11-24 00:00","29718",
"2012-11-25 00:00","36736",
"2012-11-26 00:00","35898",
"2012-11-27 00:00","27632",
"2012-11-28 00:00","37256",
"2012-11-29 00:00","37423",
"2012-11-30 00:00","29758",
"2012-12-01 00:00","33492",
"2012-12-02 00:00","20606",
"2012-12-03 00:00","21659",
"2012-12-04 00:00","32356",
"2012-12-05 00:00","33744",
"2012-12-06 00:00","37163",
"2012-12-07 00:00","32145",
"2012-12-08 00:00","33174",
"2012-12-09 00:00","32059",
"2012-12-10 00:00","36221",
"2012-12-11 00:00","36779",
"2012-12-12 00:00","36736",
"2012-12-13 00:00","42515",
"2012-12-14 00:00","39014",
"2012-12-15 00:00","32365",
"2012-12-16 00:00","35476",
"2012-12-17 00:00","41040",
"2012-12-18 00:00","49812",
"2012-12-19 00:00","44765",
"2012-12-20 00:00","35922",
"2012-12-21 00:00","44580",
"2012-12-22 00:00","51258",
"2012-12-23 00:00","36738",
"2012-12-24 00:00","36111",
"2012-12-25 00:00","28743",
"2012-12-26 00:00","36586",
"2012-12-27 00:00","43787",
"2012-12-28 00:00","47105",
"2012-12-29 00:00","38110",
"2012-12-30 00:00","45447",
"2012-12-31 00:00","30064",
"2013-01-01 00:00","31896",
"2013-01-02 00:00","39433",
"2013-01-03 00:00","42309",
"2013-01-04 00:00","48589",
"2013-01-05 00:00","39596",
"2013-01-06 00:00","33026",
"2013-01-07 00:00","40288",
"2013-01-08 00:00","38624",
"2013-01-09 00:00","43190",
"2013-01-10 00:00","52539",
"2013-01-11 00:00","52749",
"2013-01-12 00:00","45671",
"2013-01-13 00:00","49441",
"2013-01-14 00:00","44560",
"2013-01-15 00:00","45022",
"2013-01-16 00:00","53629",
"2013-01-17 00:00","48100",
"2013-01-18 00:00","49139",
"2013-01-19 00:00","56170",
"2013-01-20 00:00","41371",
"2013-01-21 00:00","40441",
"2013-01-22 00:00","43752",
"2013-01-23 00:00","46678",
"2013-01-24 00:00","46221",
"2013-01-25 00:00","48511",
"2013-01-26 00:00","52366",
"2013-01-27 00:00","55413",
"2013-01-28 00:00","52180",
"2013-01-29 00:00","51703",
"2013-01-30 00:00","41219",
"2013-01-31 00:00","51633",
"2013-02-01 00:00","59382",
"2013-02-02 00:00","54465",
"2013-02-03 00:00","61164",
"2013-02-04 00:00","55005",
"2013-02-05 00:00","53420",
"2013-02-06 00:00","42555",
"2013-02-07 00:00","61237",
"2013-02-08 00:00","60921",
"2013-02-09 00:00","57750",
"2013-02-10 00:00","56443",
"2013-02-11 00:00","57594",
"2013-02-12 00:00","58551",
"2013-02-13 00:00","59090",
"2013-02-14 00:00","50928",
"2013-02-15 00:00","55647",
"2013-02-16 00:00","51433",
"2013-02-17 00:00","49635",
"2013-02-18 00:00","50374",
"2013-02-19 00:00","54519",
"2013-02-20 00:00","59748",
"2013-02-21 00:00","55916",
"2013-02-22 00:00","62171",
"2013-02-23 00:00","57886",
"2013-02-24 00:00","57164",
"2013-02-25 00:00","67144",
"2013-02-26 00:00","63438",
"2013-02-27 00:00","60949",
"2013-02-28 00:00","63021",
"2013-03-01 00:00","64535",
"2013-03-02 00:00","55825",
"2013-03-03 00:00","54459",
"2013-03-04 00:00","64044",
"2013-03-05 00:00","56868",
"2013-03-06 00:00","62760",
"2013-03-07 00:00","66770",
"2013-03-08 00:00","55857",
"2013-03-09 00:00","55546",
"2013-03-10 00:00","73844",
"2013-03-11 00:00","59289",
"2013-03-12 00:00","48484",
"2013-03-13 00:00","56690",
"2013-03-14 00:00","58069",
"2013-03-15 00:00","62776",
"2013-03-16 00:00","34187",
"2013-03-17 00:00","35348",
"2013-03-18 00:00","43485",
"2013-03-19 00:00","46108",
"2013-03-20 00:00","46276",
"2013-03-21 00:00","55564",
"2013-03-22 00:00","60584",
"2013-03-23 00:00","52914",
"2013-03-24 00:00","51335",
"2013-03-25 00:00","48993",
"2013-03-26 00:00","49061",
"2013-03-27 00:00","53207",
"2013-03-28 00:00","60989",
"2013-03-29 00:00","62259",
"2013-03-30 00:00","59196",
"2013-03-31 00:00","43986",
"2013-04-01 00:00","52770",
"2013-04-02 00:00","63276",
"2013-04-03 00:00","63941",
"2013-04-04 00:00","66892",
"2013-04-05 00:00","61373",
"2013-04-06 00:00","51718",
"2013-04-07 00:00","63541",
"2013-04-08 00:00","61680",
"2013-04-09 00:00","66979",
"2013-04-10 00:00","63881",
"2013-04-11 00:00","68407",
"2013-04-12 00:00","58690",
"2013-04-13 00:00","53517",
"2013-04-14 00:00","55471",
"2013-04-15 00:00","54496",
"2013-04-16 00:00","67785",
"2013-04-17 00:00","56706",
"2013-04-18 00:00","46631",
"2013-04-19 00:00","59528",
"2013-04-20 00:00","48302",
"2013-04-21 00:00","44224",
"2013-04-22 00:00","47194",
"2013-04-23 00:00","61668",
"2013-04-24 00:00","65023",
"2013-04-25 00:00","62566",
"2013-04-26 00:00","55264",
"2013-04-27 00:00","44369",
"2013-04-28 00:00","41879",
"2013-04-29 00:00","51776",
"2013-04-30 00:00","47599",
"2013-05-01 00:00","55327",
"2013-05-02 00:00","55429",
"2013-05-03 00:00","51412",
"2013-05-04 00:00","50261",
"2013-05-05 00:00","50332",
"2013-05-06 00:00","53340",
"2013-05-07 00:00","56735",
"2013-05-08 00:00","50439",
"2013-05-09 00:00","66774",
"2013-05-10 00:00","67881",
"2013-05-11 00:00","73402",
"2013-05-12 00:00","65428",
"2013-05-13 00:00","60998",
"2013-05-14 00:00","66470",
"2013-05-15 00:00","64171",
"2013-05-16 00:00","61158",
"2013-05-17 00:00","58731",
"2013-05-18 00:00","52215",
"2013-05-19 00:00","47820",
"2013-05-20 00:00","48821",
"2013-05-21 00:00","53942",
"2013-05-22 00:00","51990",
"2013-05-23 00:00","59789",
"2013-05-24 00:00","55401",
"2013-05-25 00:00","51280",
"2013-05-26 00:00","40722",
"2013-05-27 00:00","52758",
"2013-05-28 00:00","57070",
"2013-05-29 00:00","55060",
"2013-05-30 00:00","57426",
"2013-05-31 00:00","54346",
"2013-06-01 00:00","54311",
"2013-06-02 00:00","49947",
"2013-06-03 00:00","55874",
"2013-06-04 00:00","57622",
"2013-06-05 00:00","56560",
"2013-06-06 00:00","54638",
"2013-06-07 00:00","52188",
"2013-06-08 00:00","48218",
"2013-06-09 00:00","44471",
"2013-06-10 00:00","45000",
"2013-06-11 00:00","49663",
"2013-06-12 00:00","45907",
"2013-06-13 00:00","43193",
"2013-06-14 00:00","50172",
"2013-06-15 00:00","35826",
"2013-06-16 00:00","42966",
"2013-06-17 00:00","45943",
"2013-06-18 00:00","46017",
"2013-06-19 00:00","47031",
"2013-06-20 00:00","52515",
"2013-06-21 00:00","47027",
"2013-06-22 00:00","44594",
"2013-06-23 00:00","38507",
"2013-06-24 00:00","44245",
"2013-06-25 00:00","44629",
"2013-06-26 00:00","45627",
"2013-06-27 00:00","46128",
"2013-06-28 00:00","49552",
"2013-06-29 00:00","36545",
"2013-06-30 00:00","30953",
"2013-07-01 00:00","39128",
"2013-07-02 00:00","39650",
"2013-07-03 00:00","35531",
"2013-07-04 00:00","35292",
"2013-07-05 00:00","37037",
"2013-07-06 00:00","33372",
"2013-07-07 00:00","30356",
"2013-07-08 00:00","39629",
"2013-07-09 00:00","40832",
"2013-07-10 00:00","39238",
"2013-07-11 00:00","43434",
"2013-07-12 00:00","48260",
"2013-07-13 00:00","37970",
"2013-07-14 00:00","34933",
"2013-07-15 00:00","36754",
"2013-07-16 00:00","39392",
"2013-07-17 00:00","40643",
"2013-07-18 00:00","41170",
"2013-07-19 00:00","36759",
"2013-07-20 00:00","33702",
"2013-07-21 00:00","35456",
"2013-07-22 00:00","39979",
"2013-07-23 00:00","38432",
"2013-07-24 00:00","42361",
"2013-07-25 00:00","42530",
"2013-07-26 00:00","37373",
"2013-07-27 00:00","36892",
"2013-07-28 00:00","37302",
"2013-07-29 00:00","41812",
"2013-07-30 00:00","42133",
"2013-07-31 00:00","49524",
"2013-08-01 00:00","50904",
"2013-08-02 00:00","51681",
"2013-08-03 00:00","45746",
"2013-08-04 00:00","42946",
"2013-08-05 00:00","51001",
"2013-08-06 00:00","54369",
"2013-08-07 00:00","57606",
"2013-08-08 00:00","58022",
"2013-08-09 00:00","49658",
"2013-08-10 00:00","51695",
"2013-08-11 00:00","38422",
"2013-08-12 00:00","50228",
"2013-08-13 00:00","53080",
"2013-08-14 00:00","51660",
"2013-08-15 00:00","58129",
"2013-08-16 00:00","71119",
"2013-08-17 00:00","56546",
"2013-08-18 00:00","56397",
"2013-08-19 00:00","71314",
"2013-08-20 00:00","63228",
"2013-08-21 00:00","60531",
"2013-08-22 00:00","66812",
"2013-08-23 00:00","55195",
"2013-08-24 00:00","51817",
"2013-08-25 00:00","44447",
"2013-08-26 00:00","56093",
"2013-08-27 00:00","62187",
"2013-08-28 00:00","64747",
"2013-08-29 00:00","58992",
"2013-08-30 00:00","62603",
"2013-08-31 00:00","47505",
"2013-09-01 00:00","46598",
"2013-09-02 00:00","51266",
"2013-09-03 00:00","52163",
"2013-09-04 00:00","52979",
"2013-09-05 00:00","60730",
"2013-09-06 00:00","60850",
"2013-09-07 00:00","51967",
"2013-09-08 00:00","46452",
"2013-09-09 00:00","57676",
"2013-09-10 00:00","53283",
"2013-09-11 00:00","49210",
"2013-09-12 00:00","52300",
"2013-09-13 00:00","44834",
"2013-09-14 00:00","43560",
"2013-09-15 00:00","53672",
"2013-09-16 00:00","51885",
"2013-09-17 00:00","67931",
"2013-09-18 00:00","60551",
"2013-09-19 00:00","59815",
"2013-09-20 00:00","58994",
"2013-09-21 00:00","52498",
"2013-09-22 00:00","50903",
"2013-09-23 00:00","65328",
"2013-09-24 00:00","62592",
"2013-09-25 00:00","54548",
"2013-09-26 00:00","57545",
"2013-09-27 00:00","46920",
"2013-09-28 00:00","42580",
"2013-09-29 00:00","41181",
"2013-09-30 00:00","47156",
"2013-10-01 00:00","57171",
"2013-10-02 00:00","61964",
"2013-10-03 00:00","59551",
"2013-10-04 00:00","51940",
"2013-10-05 00:00","45479",
"2013-10-06 00:00","42857",
"2013-10-07 00:00","44547",
"2013-10-08 00:00","45131",
"2013-10-09 00:00","50673",
"2013-10-10 00:00","56853",
"2013-10-11 00:00","51922",
"2013-10-12 00:00","49474",
"2013-10-13 00:00","51304",
"2013-10-14 00:00","57452",
"2013-10-15 00:00","55826",
"2013-10-16 00:00","50826",
"2013-10-17 00:00","46870",
"2013-10-18 00:00","59661",
"2013-10-19 00:00","55311",
"2013-10-20 00:00","49418",
"2013-10-21 00:00","60451",
"2013-10-22 00:00","65048",
"2013-10-23 00:00","55314",
"2013-10-24 00:00","63634",
"2013-10-25 00:00","57471",
"2013-10-26 00:00","47747",
"2013-10-27 00:00","43691",
"2013-10-28 00:00","51104",
"2013-10-29 00:00","49930",
"2013-10-30 00:00","48446",
"2013-10-31 00:00","58181",
"2013-11-01 00:00","45371",
"2013-11-02 00:00","39181",
"2013-11-03 00:00","35947",
"2013-11-04 00:00","45523",
"2013-11-05 00:00","51597",
"2013-11-06 00:00","55008",
"2013-11-07 00:00","60535",
"2013-11-08 00:00","59223",
"2013-11-09 00:00","55204",
"2013-11-10 00:00","57538",
"2013-11-11 00:00","57405",
"2013-11-12 00:00","58307",
"2013-11-13 00:00","64870",
"2013-11-14 00:00","69413",
"2013-11-15 00:00","60914",
"2013-11-16 00:00","47175",
"2013-11-17 00:00","51323",
"2013-11-18 00:00","79032",
"2013-11-19 00:00","92907",
"2013-11-20 00:00","77558",
"2013-11-21 00:00","71822",
"2013-11-22 00:00","76947",
"2013-11-23 00:00","72545",
"2013-11-24 00:00","60861",
"2013-11-25 00:00","71793",
"2013-11-26 00:00","83383",
"2013-11-27 00:00","95531",
"2013-11-28 00:00","98921",
"2013-11-29 00:00","90084",
"2013-11-30 00:00","75190",
"2013-12-01 00:00","72142",
"2013-12-02 00:00","75570",
"2013-12-03 00:00","77667",
"2013-12-04 00:00","79624",
"2013-12-05 00:00","83283",
"2013-12-06 00:00","72099",
